Book Name,Author,Rating,Customers_Rated,Price
"Magic Tree House Boxed Set, Books 1-4: Dinosaurs Before Dark, The Knight at Dawn, Mummies in the Morning, and Pirates…",Mary Pope Osborne,4.8 out of 5 stars,"13,395",$7.95
American Marxism,Mark R. Levin,-1,0,$17.23
Demon Slayer Complete Box Set: Includes volumes 1-23 with premium (Demon Slayer: Kimetsu no Yaiba),Koyoharu Gotouge,-1,0,$119.99
"Dude Perfect 101 Tricks, Tips, and Cool Stuff",Dude Perfect,-1,0,$18.39
The Last Thing He Told Me: A Novel,Laura Dave,4.3 out of 5 stars,"12,554",$16.30
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8 out of 5 stars,"31,264",$8.99
The Midnight Library: A Novel,Matt Haig,4.4 out of 5 stars,"86,115",$13.29
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8 out of 5 stars,"45,561",$11.98
Joshua Weissman: An Unapologetic Cookbook,Joshua Weissman,-1,0,$19.40
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.8 out of 5 stars,"58,585",$1.98
It Ends with Us: A Novel,Colleen Hoover,4.7 out of 5 stars,"18,114",$10.59
Malibu Rising: A Novel,Taylor Jenkins Reid,4.3 out of 5 stars,"2,649",$16.86
Where the Crawdads Sing,Delia Owens,4.8 out of 5 stars,"135,724",$9.98
The President's Daughter: A Thriller,James Patterson,4.7 out of 5 stars,"1,726",$18.00
The Bench,Meghan The Duchess of Sussex,4.8 out of 5 stars,831,$12.02
The Very Hungry Caterpillar,Eric Carle,4.9 out of 5 stars,"35,676",$1.27
People We Meet on Vacation,Emily Henry,4.4 out of 5 stars,"4,036",$10.00
Beach Read,Emily Henry,4.3 out of 5 stars,"11,985",$7.36
"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",Crystal Radke,4.8 out of 5 stars,"54,706",$5.51
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.7 out of 5 stars,"54,183",$8.89
Rand McNally 2022 Large Scale Road Atlas,Rand McNally,4.7 out of 5 stars,419,$12.82
